First Aurthor,Year,Title,Type
Lai W ,2017,Semi-supervised learning for optical flow with generative adversarial networks,Conference
Ravanbakhsh M,2017,Abnormal event detection in videos using generative adversarial nets,Conference
Li Y,2017,Generative face completion,Conference
Yang C,2017,High-resolution image inpainting using multi-scale neural patch synthesis,Conference
Chen M,2017,Multi-view generative adversarial networks,Conference
Hausman K,2017,Multi-modal imitation learning from unstructured demonstrations using generative adversarial nets,Conference
Choe J ,2017,Face generation for low-shot learning using generative adversarial networks,Conference
Bi L,2017,Synthesis of positron emission tomography (PET) images via multi-channel generative adversarial networks (GANs),Conference
Xiang S,2017,On the effects of batch and weight normalization in generative adversarial networks,Conference
Bojanowski P,2017,Optimizing the latent space of generative networks,Conference
Hu Y,2017,Freehand ultrasound image simulation with spatially-conditioned generative adversarial networks,Conference
Liu,2017,Interactive 3D modeling with a generative adversarial network,Conference
Yu S ,2017,GaitGAN: Invariant gait feature extraction using generative adversarial networks,Conference
Mahapatra D,2017,Image super resolution using generative adversarial networks and local saliency maps for retinal image analysis,Conference
Chen Y,2017,Adversarial posenet: A structure-aware convolutional network for human pose estimation,Conference
Bora A,2017,Compressed sensing using generative models,Conference
Yeh R,2017,Semantic image inpainting with deep generative models,Conference
Tolstikhin I,2017,AdaGAN: Boosting Generative Models,Conference
Zhang H,2017,Generative adversarial network-based synthesis of visible faces from polarimetrie thermal faces,Conference
Bhattacharjee P,2017,Temporal coherency based criteria for predicting video frames using deep multi-stage generative adversarial networks,Conference
Dai Z,2017,Good semi-supervised learning that requires a bad GAN,Conference
Giuffrida M,2017,ARIGAN: synthetic Arabidopsis plants using generative adversarial network,Conference
Dong H,2017,Semantic image synthesis via adversarial learning,Conference
Li Y,2017,Dualing GANs,Conference
Zhu J,2017,Toward multimodal image-to-image translation,Conference
Ma J,2017,Pose guided person image generation,Conference
Lassner C,2017,A generative model of people in clothing,Conference
Ghosh A,2017,Handwriting profiling using generative adversarial networks,Conference
Rosca M,2017,Variational approaches for auto-encoding generative adversarial networks,arXiv
Kodali N,2017,On Convergence and Stability of GANs,arXiv
Qi G,2017,Loss-sensitive generative adversarial networks on lipschitz densities,arXiv
Pan J,2017,SalGAN: Visual saliency prediction with generative adversarial networks,arXiv
Che T,2017,Maximum-likelihood augmented discrete generative adversarial networks,arXiv
Zhang H,2017,Image de-raining using a conditional generative adversarial network,arXiv
Guimaraes G,2017,Objective-reinforced generative adversarial networks (ORGAN) for sequence generation models,arXiv
Lipton Z,2017,Precise recovery of latent vectors from generative adversarial networks,arXiv
Son J,2017,Retinal vessel segmentation in fundoscopic images with generative adversarial networks,arXiv
Mardani M,2017,Recurrent generative residual networks for proximal learning and automated compressive image recovery,arXiv
Hoffman J,2017,CyCADA: Cycle-consistent adversarial domain adaptation,arXiv
Jin Y,2017,Towards the automatic anime characters creation with generative adversarial networks,arXiv
Shi H,2017,SSGAN: Secure steganography based on generative adversarial networks,arXiv
Mahasseni B,2017,Unsupervised video summarization with adversarial LSTM networks,arXiv
Lee B,2017,Generative adversarial trainer: Defense to adversarial perturbations with GAN,arXiv
Mustafa M,2017,Creating virtual universes using generative adversarial networks,arXiv
Wu H,2017,GP-GAN:Towards  realistic  high-resolution  image  blending,arXiv
Lim J,2017,Geometric GAN,arXiv
Xu F,2017,Gang of GANs: Generative adversarial networks with maximum margin ranking,arXiv
Galteri L,2017,Deep generative adversarial compression artifact removal,arXiv
Li X,2017,Adversarial examples detection in deep networks with convolutional filter statistics,arXiv
Li C,2017,MMD GAN: Towards deeper understanding of moment matching network,arXiv
Kim T,2017,Unsupervised visual attribute transfer with reconfigurable generative adversarial networks,arXiv
Mao X,2017,Aligngan: Learning to align cross-domain images with conditional generative adversarial networks,arXiv
Mardani M,2017,Deep generative adversarial networks for compressed sensing automates MRI,Journal
Zhang H,2017,StackGAN++: Realistic image synthesis with stacked generative adversarial networks,Journal
Oliveira L,2017,Learning particle physics by example: location-aware generative adversarial networks for physics synthesis,Journal
Schawinski K,2017,Generative adversarial networks recover features in astrophysical images of galaxies beyond the deconvolution limit,Journal
Wang K,2017,Generative adversarial networks: Introduction and outlook,Journal
He Z ,2017,Generative adversarial networks-based semi-supervised learning for hyperspectral image classification,Journal
Lizuka S,2017,Globally and locally consistent image completion,Journal
Tang W ,2017,Automatic steganographic distortion learning using a generative adversarial network,Journal
Salimans T,2018,Improving GANs Using Optimal Transport,Conference
Salehinejad H,2018,Generalization of deep neural networks for chest pathology classification in X-rays using generative adversarial networks,Conference
Ghosh A,2018,Multi-agent diverse generative adversarial networks,Conference
Miyato T,2018,Spectral normalization for generative adversarial networks,Conference
